Círculo,PS,PSD,BE,CDU,CDS-PP,PAN,Chega,IL,LIVRE,PSD/CDS-PP,Aliança,RIR,PCTP/MRPP,Ergue-te,MPT,NC,Volt,JPP,ADN,PPM,PTP,MAS,N,B,ABS,lug_2019,lug_2022
Açores,36025,0,3589,1250,0,1156,4986,3454,773,28520,0,201,321,55,150,0,67,0,484,0,0,87,890,2076,144938,5,5
Aveiro,144044,130192,16700,6546,8962,4604,20546,16294,2874,0,0,1967,1409,217,504,0,446,192,692,0,0,409,3521,4739,277744,16,16
Beja,29533,10767,2511,12442,515,597,6932,1388,491,0,0,156,415,78,89,0,103,0,0,0,45,62,639,767,53358,3,3
Braga,207793,172007,18558,12993,8215,5907,28746,21432,3925,0,286,1767,0,494,453,0,357,481,0,0,460,549,3937,6152,282027,19,19
Bragança,26495,26480,1371,892,1368,397,5619,1049,230,0,0,249,0,64,91,0,0,0,0,0,0,54,816,567,71830,3,3
Castelo Branco,45622,26237,4069,2784,1497,935,7958,2443,774,0,0,239,313,59,154,78,0,0,182,0,43,91,1148,1117,70526,4,4
Coimbra,97310,62268,10950,7284,3245,2569,13166,7779,2195,0,322,703,552,136,211,0,306,0,0,0,0,242,2364,3120,159813,9,9
Évora,34693,16902,2628,11494,896,665,7222,1947,496,0,0,263,0,56,63,0,96,0,0,0,42,77,557,843,55888,3,3
Faro,77740,47471,11226,9379,2109,4213,23988,9042,2111,0,0,759,0,220,383,0,210,0,1152,0,250,286,1829,2599,185404,9,9
Guarda,34685,25776,2359,1360,1699,504,6116,1487,413,0,0,341,0,120,69,0,117,0,0,0,66,65,950,774,68951,3,3
Leiria,84253,81778,10711,7340,4834,3090,18918,12400,2469,0,0,1199,0,173,353,376,209,0,783,0,137,264,2685,3809,177302,10,10
Lisboa,482606,285522,55786,59995,19524,23577,91889,93341,28834,0,749,3035,4916,816,1485,879,1369,971,3249,0,555,1452,9433,11891,738084,48,48
Madeira,40004,0,4109,2581,0,2084,7727,4241,913,50634,0,554,0,234,462,0,0,8721,550,260,689,244,2323,781,129320,6,6
Portalegre,25271,12432,1550,4058,635,345,6136,1115,295,0,0,122,304,43,50,0,35,0,0,0,16,48,472,601,40846,2,2
Porto,418869,318343,47118,32277,14347,16707,42998,50359,11433,0,372,7212,0,1007,706,922,893,367,1430,0,421,707,8319,9993,607790,40,40
Santarém,89870,58630,10012,11854,4136,2527,23813,8219,1932,0,0,901,0,284,314,0,311,0,0,0,162,383,2071,2773,159814,9,9
Setúbal,198104,69963,24931,43529,4869,8639,39135,22217,6140,0,0,1429,2525,313,492,369,514,203,1307,0,225,460,3431,4422,312376,18,18
Viana do Castelo,53435,43414,4418,3815,4272,1251,7702,3651,919,0,173,556,0,133,190,0,130,0,0,0,0,157,1170,1654,109002,6,6
Vila Real,43489,42135,2443,1775,1667,812,7573,1898,574,0,0,370,0,78,62,144,76,0,0,0,0,208,1075,940,107774,5,5
Viseu,76642,67888,5218,2982,3788,1671,14373,4658,1180,0,0,682,0,176,156,229,289,0,188,0,128,145,1907,2144,155898,8,8
Em.Europa,36069,16391,2644,1409,1155,2954,7756,2700,1579,0,84,389,522,78,610,296,464,0,262,0,377,125,32777,711,817026,2,2
Em.ForaEuropa,19181,24143,1681,908,1381,2921,6181,2285,642,0,484,287,0,199,532,621,319,0,648,0,0,72,1390,568,531129,2,2
